MinTemp,MaxTemp,avgTemp,Evaporation,Sunshine,WindSpeed9am,WindSpeed3pm,WindSpeedAvg,Humidity9am,Humidity3pm,HumidityAvg,Pressure9am,Pressure3pm,PressureAvg,Temp9am,Temp3pm,TempAvg,Rainfall
8,24.3,,3.4,6.3,6,20,,68,29,,1019.7,1015,,14.4,23.6,,0
14,26.9,,4.4,9.7,4,17,,80,36,,1012.4,1008.4,,17.5,25.7,,3.6
13.7,23.4,,5.8,3.3,6,6,,82,69,,1009.5,1007.2,,15.4,20.2,,3.6
13.3,15.5,,7.2,9.1,30,24,,62,56,,1005.5,1007,,13.5,14.1,,39.8
7.6,16.1,,5.6,10.6,20,28,,68,49,,1018.3,1018.5,,11.1,15.4,,2.8
6.2,16.9,,5.8,8.2,20,24,,70,57,,1023.8,1021.7,,10.9,14.8,,0
6.1,18.2,,4.2,8.4,19,26,,63,47,,1024.6,1022.2,,12.4,17.3,,0.2
8.3,17,,5.6,4.6,11,24,,65,57,,1026.2,1024.2,,12.1,15.5,,0
8.8,19.5,,4,4.1,19,17,,70,48,,1026.1,1022.7,,14.1,18.9,,0
8.4,22.8,,5.4,7.7,7,6,,82,32,,1024.1,1020.7,,13.3,21.7,,16.2
9.1,25.2,,4.2,11.9,6,9,,74,34,,1024.4,1021.1,,14.6,24,,0
8.5,27.3,,7.2,12.5,2,15,,54,35,,1023.8,1019.9,,16.8,26,,0.2
10.1,27.9,,7.2,13,6,7,,62,29,,1022,1017.1,,17,27.1,,0
12.1,30.9,,6.2,12.4,7,20,,67,20,,1017.3,1013.1,,19.7,30.7,,0
10.1,31.2,,8.8,13.1,6,20,,45,16,,1018.2,1013.7,,18.7,30.4,,0
12.4,32.1,,8.4,11.1,7,9,,70,22,,1017.9,1012.8,,19.1,30.7,,0
13.8,31.2,,7.2,8.4,6,19,,72,23,,1014.4,1009.8,,20.2,29.8,,0
11.7,30,,7.2,10.1,6,11,,59,26,,1016.4,1013,,20.1,28.6,,1.2
12.4,32.3,,7.4,13,4,17,,60,25,,1017.1,1013.3,,20.2,31.2,,0.6
15.6,33.4,,8,10.4,2,13,,61,27,,1018.5,1013.7,,22.8,32,,0
15.3,33.4,,8.8,9.5,2,31,,60,26,,1012.4,1006.5,,22.2,32.8,,0
16.4,19.4,,9.2,0,6,11,,88,72,,1010.7,1008.9,,16.5,18.3,,0.4
12.8,18.5,,2.8,0.6,13,13,,91,79,,1014,1014.9,,14,16.8,,25.8
12,24.3,,1.2,7.5,6,9,,74,57,,1020.7,1019.2,,17.8,22.8,,0.4
15.4,28.4,,4.4,8.1,9,15,,85,31,,1022.4,1018.6,,16.8,27.3,,0
15.6,26.9,,6.8,8.9,6,22,,65,48,,1019.7,1016.5,,19.8,25.1,,0
13.3,22.2,,6.6,2.3,20,17,,70,55,,1021,1018.6,,16.5,21.2,,0.2
12.9,28,,4.4,10.7,6,11,,61,31,,1019.2,1014.8,,18.8,26.7,,0
15.1,24.3,,7,0.4,7,17,,69,80,,1019,1017.1,,18.9,19.7,,0
13.6,24.1,,2.6,0.5,6,6,,83,49,,1017.2,1013.3,,17.3,23.2,,0.4
15.1,20.4,,2.4,0.2,6,20,,82,90,,1015,1014.1,,17,16.3,,22.6
11.6,26.3,,1.6,12,6,9,,66,46,,1013.9,1009.5,,16.7,25.2,,4.2
16.6,24.2,,6.6,4.7,13,35,,72,60,,1007.9,1004.6,,20.5,19.9,,0.2
13.3,26.5,,3.8,11.8,20,26,,74,40,,1007.3,1006.3,,18.8,25.1,,6.6
14.5,21.8,,8.4,9.8,11,30,,69,63,,1015,1015.3,,18.6,20.5,,0
16.3,26.8,,6,6.3,13,9,,78,54,,1018.8,1016.1,,18.6,24.5,,0
17.2,25.8,,4.2,8.8,6,6,,70,74,,1014.5,1011.5,,21.5,22.6,,0
16.5,28.2,,4.2,8.8,7,13,,76,42,,1014.8,1011.4,,18,26.3,,4
15,29.4,,6.6,11.1,9,24,,78,24,,1010.8,1008.5,,20.6,28.6,,0
14.9,24.8,,10.4,10,11,6,,58,37,,1011.7,1010.4,,19.3,22.9,,0
11.8,18.5,,4.8,2.3,9,15,,60,63,,1018,1017.4,,13.8,16.4,,0.6
11.7,21.5,,4.2,7.3,15,24,,66,51,,1021.1,1019.6,,15.7,19.4,,0
9.6,20.3,,5,3.6,22,20,,70,49,,1021.9,1019.3,,15.8,19.2,,0
8.9,27.1,,4.4,12.7,6,11,,63,37,,1018.1,1012.5,,15.8,25,,0
10.1,29.9,,6.8,8.8,2,13,,63,36,,1012.6,1010.2,,17.4,29.1,,0
15.5,21.1,,6.4,0.9,6,7,,93,86,,1010.1,1008.6,,16.6,20,,5.4
10.8,21.7,,2.8,10.6,13,20,,59,40,,1017.6,1016.8,,15.3,20.8,,1.4
7.5,20.9,,6.6,8.7,13,20,,61,43,,1020.6,1018.3,,15.3,19.8,,0
12.8,21,,6.4,0.8,7,6,,72,54,,1018,1015.6,,16.1,20,,0
12.6,23.1,,1.6,2.3,4,13,,97,74,,1015.8,1014.1,,15.3,20.4,,3.4
14.8,29.5,,1.8,8.1,6,22,,81,48,,1012.9,1008.3,,21,28.2,,6.4
19.9,22,,4.4,5.9,41,30,,92,62,,996.5,996.8,,20.6,19.6,,11
9.2,20.4,,7.8,10.2,9,20,,59,49,,1009.5,1009.1,,14.9,18.8,,17.4
12.4,24.4,,6.2,12.1,7,13,,69,43,,1012.8,1009.7,,15,22.5,,0
11.3,21.7,,8.2,5.6,11,11,,67,52,,1020.4,1019.1,,12.4,21,,3.4
9.8,26.3,,5.2,13,6,19,,63,35,,1023.2,1018,,15.3,23.9,,0
14.3,26.7,,7.2,7.1,7,48,,68,64,,1017.3,1014.3,,19.8,19,,0
15.1,28.3,,8.8,13.2,6,13,,73,44,,1016.8,1013.4,,18.3,27.4,,14.4
14.4,31.6,,6.6,13.6,6,7,,65,30,,1017.1,1014.2,,21.5,30.3,,0
15.4,35,,9.6,13,6,22,,55,18,,1017.4,1015,,23.4,34.3,,0
13.8,33.5,,11.4,13.6,7,9,,44,20,,1019.2,1015.6,,21.9,32.2,,0
13.6,34.2,,8.8,12.8,2,11,,50,20,,1015.8,1011.6,,21.9,31.8,,0
14.3,35,,7.6,10.5,2,9,,43,14,,1012.6,1008.7,,23,33.6,,0
15.9,23.4,,12.6,2.2,20,24,,69,55,,1016.8,1016.3,,19.2,22.3,,0
16.7,25.3,,6.2,12.5,24,26,,56,45,,1016.2,1013,,20.3,23.9,,0
12.1,27.5,,7.4,11.7,7,15,,69,40,,1011.8,1007.4,,18.6,26.8,,0
14.3,34.1,,6.6,10.5,6,19,,77,34,,1006.6,1003.3,,18.9,31.9,,0
16.5,33.9,,9,12.6,11,11,,60,36,,1012.3,1009.5,,20.8,31.3,,0
16.5,30.3,,10,8.1,7,9,,77,44,,1015.7,1013.4,,18.1,28,,0
17.5,29.9,,6.6,8.8,13,11,,74,45,,1018.5,1015.9,,19.3,27.9,,0
14.7,34.2,,6.6,12.8,6,11,,64,25,,1017.8,1013.3,,21.3,32.2,,0
17.5,35.8,,9.4,13.3,6,19,,56,24,,1011.8,1006.5,,24.7,34.5,,0
20.9,35.7,,13.8,6.9,4,17,,61,28,,1007.6,1003,,23.6,34,,0
17,33.8,,9,13.5,6,24,,65,35,,1004,1001.8,,23,31.8,,2
16,22.8,,12.4,6,13,19,,70,57,,1012.3,1012.3,,17,21.6,,0
15.4,33.8,,5.2,11.1,7,15,,70,26,,1014.2,1009,,18,31.7,,0
17.9,33.2,,10.4,8.4,15,20,,58,62,,1008.5,1006.1,,24.5,23.5,,0
15.2,25.1,,6.4,11.6,20,28,,62,42,,1016.8,1015,,17.1,23.9,,4.8
15.1,20.4,,9.6,0.1,17,19,,63,55,,1017.5,1015.8,,17.8,19.4,,0
15.3,19.6,,5,0,9,13,,92,88,,1008.7,1006,,18,18.6,,18.8
17.2,24.7,,1.4,8.1,19,28,,80,71,,1004.9,1004,,19.4,21.9,,12.2
15.9,19.9,,5.6,1.6,17,22,,73,58,,1011.4,1012.1,,17.4,18.6,,0.8
10,22.5,,4.4,11.6,11,7,,55,46,,1018.7,1016.8,,14.7,22.2,,0
9.9,24.4,,5.8,10.8,7,7,,60,38,,1021.6,1019.2,,16.2,22.7,,0
10.3,27.8,,6.4,9.9,6,11,,64,29,,1021.3,1018.1,,17,26.3,,0
15.4,25.7,,6.8,8.2,9,17,,67,32,,1020.1,1016.9,,17.6,24.6,,0
12.7,28.8,,7.4,9,4,7,,70,28,,1016.5,1012.4,,18.3,28.3,,0
13.2,31.3,,6.6,11.6,4,26,,71,28,,1013.1,1009.5,,19.7,30.7,,0
15.3,33.2,,9.4,13.2,4,24,,60,18,,1013.9,1012,,22.4,32.1,,0
17.9,33.9,,10.4,11.8,6,11,,72,22,,1017.4,1014.6,,19.8,32.3,,0
18,34.9,,9.2,9.9,6,13,,68,29,,1018,1013.7,,22.2,33.1,,0
17.6,27.8,,10.2,3.6,13,13,,66,49,,1014.6,1012.8,,21.4,26.3,,5.2
16,23.8,,5.4,6.2,11,11,,73,49,,1018.9,1017.1,,16.5,22.9,,2.2
14.9,28.8,,5.8,8.1,7,11,,71,44,,1018.2,1014.5,,19.1,27,,0
17.1,29.6,,5.8,9.2,9,17,,67,38,,1016.7,1012.8,,21.7,29.1,,0
18.2,22.6,,8,0,7,13,,92,76,,1014.4,1011.5,,18.5,22.1,,1.8
16.8,22.8,,2.8,0.3,7,11,,88,71,,1010,1007.8,,18.4,21.5,,9
13.6,27.4,,2.8,8,6,24,,77,41,,1002.1,997.5,,18.7,26.5,,1
14.5,24.2,,6.8,5.9,11,20,,76,76,,999.4,998.9,,17.9,20.3,,0
12.4,19.9,,5.4,5.6,7,20,,75,58,,1007.6,1005,,13.6,18.7,,16.2
10.4,20.9,,4,8.9,15,17,,65,51,,1007.7,1006.8,,13.8,18.7,,0
9.1,23.1,,5.8,9.6,17,13,,66,37,,1013.6,1011.4,,14,21.4,,0
8.9,26,,5,10.7,7,13,,74,34,,1016.1,1011.7,,14.6,24.2,,0
14.5,24.2,,6.6,5.9,9,17,,95,60,,1010.8,1006.8,,15.8,22.6,,4.4
12.6,18.2,,3.2,0.4,13,15,,81,73,,1010,1011,,16.3,16.8,,11
8.6,24.2,,2.8,12.7,11,9,,63,37,,1017.5,1015.1,,13.7,22,,0.2
10.8,25.2,,5.6,12.6,7,7,,69,32,,1020.2,1016.7,,15,24.3,,0
11.2,26.1,,7.2,12.6,7,19,,71,40,,1022.9,1020,,15.3,24.7,,0
12.1,24.1,,7.4,10.2,9,13,,64,46,,1025.2,1021.4,,15.4,22.5,,0
10.8,25.8,,6.8,11.7,7,11,,72,42,,1021.3,1017.4,,17.2,24.1,,0
11.4,27.1,,5.6,12.1,6,15,,69,38,,1017.6,1012.8,,16.9,26.1,,0
12,28.9,,7.2,8.2,2,9,,78,31,,1012.2,1009.1,,17.4,28.6,,0
16.3,24.8,,7.8,3.8,4,7,,88,56,,1011.8,1008.4,,17.5,24,,1.8
12.7,28.6,,3.2,8.6,NA,28,,78,42,,1008.3,1002.3,,16.5,27.4,,6.6
12.7,25.1,,7.8,12.4,20,26,,57,32,,1007.4,1005.4,,15.7,24.5,,0
12,23.8,,10.4,12.4,15,30,,54,34,,1007.9,1007.2,,15.1,22.9,,0
11.5,25.9,,5.2,10.2,9,7,,70,35,,1016.4,1014.3,,15.8,24.3,,0
13,28.2,,5,11.6,4,17,,74,27,,1017.6,1014.4,,17.4,27,,0
11.7,27.6,,7.8,8.1,NA,30,,74,25,,1013.6,1009.1,,17.6,26.8,,0
14.8,17.3,,7.6,0.8,13,13,,74,78,,1010,1009.9,,15.7,15.3,,0
7.7,18.4,,5.2,12,24,17,,58,34,,1015.5,1014.5,,10.6,16.8,,10.4
4.4,21.8,,6.2,12.1,15,15,,60,31,,1020.8,1019.3,,11.7,20,,0
7.4,24.4,,6.2,11.6,7,11,,65,37,,1026.3,1023.2,,12.2,22.1,,0
8.3,27.3,,5.6,10.1,6,9,,78,28,,1025.4,1020.4,,13.8,25.5,,0
10.1,28.2,,6,7.3,6,7,,72,28,,1021.1,1018.2,,15.6,27,,0
12,27.6,,6,11,7,6,,69,35,,1025.5,1022.2,,15.7,26.2,,0
12.9,31.8,,6,11.3,6,9,,76,24,,1023.9,1019.3,,17.4,30,,0
10.8,29.2,,8.4,7.5,NA,9,,56,34,,1021.6,1017.7,,17.5,27.7,,0
9.5,27.4,,4.8,11.5,6,9,,79,39,,1024.7,1020.7,,14,24.9,,3
12.1,27.8,,5,11.5,7,11,,66,33,,1024.8,1023.1,,17.8,27,,0
12.5,31.7,,6.6,11.2,6,9,,74,28,,1024.9,1020.4,,17.2,30.1,,0
13.9,34.7,,6.4,8.5,11,7,,50,18,,1022.8,1019.3,,20.2,32.7,,0
13.3,31.7,,7.8,11,6,28,,80,23,,1021.6,1017.6,,17.5,30.7,,0.2
13.2,33.1,,8.6,9.7,7,7,,91,18,,1020.9,1017.7,,16.1,31.7,,0
12.3,33.8,,7.2,11.3,9,13,,57,15,,1022.6,1019.1,,17.9,32.7,,0
13.8,35.2,,6.4,11.2,7,4,,47,15,,1022.5,1019.3,,21.4,34.1,,0
11.3,32.3,,9.4,11.4,4,6,,44,17,,1024.3,1020.7,,18.2,30.5,,0
11.7,30.2,,7.8,11.2,9,13,,73,22,,1024.3,1020.6,,17.7,28.8,,0
12.5,29.9,,5.8,10.7,0,19,,76,30,,1022.7,1018.8,,16.8,29.2,,0
15.1,26.2,,9,9.8,4,15,,59,48,,1022.1,1018.7,,19.7,24.5,,0
11.5,29.3,,5.2,8,0,26,,76,35,,1013.8,1009.4,,17.1,27.6,,0
13,14.8,,8.2,0,9,17,,77,62,,1017.4,1019.3,,13.3,13.9,,0
11.6,19.6,,2.8,1.6,6,17,,71,64,,1023.6,1021.8,,14,17.9,,0
12.8,24.9,,2.4,6.2,6,7,,76,44,,1023.2,1019.3,,15.5,24.2,,0
15.5,22.4,,4.8,1.9,6,19,,89,68,,1018.7,1015.4,,17.1,21.1,,0.6
13.1,17.4,,2.8,0,11,20,,94,93,,1010.2,1006.5,,16.4,16.6,,6.4
12.6,20.2,,2.6,9.1,17,20,,76,50,,1007.9,1008.4,,15.1,17.4,,19.8
4.4,18.3,,4.6,9.6,7,17,,80,36,,1014.8,1012.6,,8.4,17.4,,0
4.4,18.2,,3.6,11,7,19,,78,35,,1017.4,1015,,9.2,17.2,,0
7.1,18.5,,3.4,10,9,22,,90,30,,1015.1,1011.3,,8.8,18.2,,0
4.2,18.9,,6.4,10.8,6,31,,60,34,,1011.2,1009.3,,11.2,18.1,,0
9.6,18.8,,6.4,10,19,26,,54,42,,1012.7,1013,,13.1,16.5,,0
3.5,21.8,,6,10.3,7,11,,72,34,,1023.9,1021.2,,8.7,21.2,,0
5.3,23.3,,3.6,5.6,2,37,,90,26,,1018,1010.5,,9.5,22.5,,0
7,14.3,,9.6,9.7,26,33,,68,40,,1010.3,1012.7,,9.1,13.7,,2.6
0.4,18.9,,4.8,9.6,6,7,,77,33,,1021.2,1019.1,,5.2,17.6,,0
3.2,21.4,,3.2,10.6,7,7,,76,27,,1025.2,1022.3,,8.2,20.5,,0
5.9,21.8,,2.8,9.3,7,11,,70,35,,1028,1024.1,,12.9,20.8,,0
8.1,20.5,,3.8,7.8,11,11,,66,48,,1027.8,1024,,14.9,19.5,,0
6.9,18.9,,4.2,4.1,15,9,,68,45,,1028.2,1025.4,,13.8,17.8,,0
5.6,19.5,,2.8,6.8,9,6,,69,49,,1025.7,1021.8,,14.3,18.6,,0
7.2,22.9,,2.2,9.5,4,6,,82,28,,1023.1,1019.2,,14,22.2,,0
7.1,23.4,,3.4,10.2,2,7,,72,29,,1021,1016.9,,12.7,22.4,,0
6.1,24.1,,4.6,6.1,6,11,,75,32,,1019.2,1015.8,,11.5,23.7,,0
7.1,19.8,,3.2,7.7,13,15,,96,56,,1018.4,1013.8,,10.7,19.1,,2
5.6,18,,3.8,9.3,9,20,,70,40,,1020.8,1019.6,,12.4,17.9,,5.2
5.4,20.7,,3.2,10.8,7,9,,66,36,,1027.2,1023.9,,12.3,20.4,,0
6.3,19.3,,3.4,10.6,9,13,,65,39,,1027.9,1024.4,,12.6,18.8,,0
5.3,21,,4.6,6.3,7,7,,77,44,,1027.2,1023.3,,12,20.4,,0
7.9,19.7,,3.2,8.3,17,11,,58,43,,1027.3,1024.1,,14,19.1,,0
8.4,16.1,,3,4.9,13,22,,69,51,,1029.5,1027.4,,13.6,15.2,,0
8.1,18.7,,4.4,7.1,11,30,,66,65,,1028.2,1024.2,,13.5,15.6,,0
2.4,20.6,,2.8,10.1,9,7,,77,34,,1024.8,1021,,10.6,19.8,,0
5.6,18.9,,3.8,8,13,22,,79,49,,1025.8,1023.5,,12.5,17.7,,0
7.5,19,,4,6.8,0,7,,74,43,,1025.5,1022.2,,12.6,18.1,,0
2.5,21.2,,2,7.9,7,9,,82,55,,1023.7,1019.8,,9.2,17.6,,0
5,20.9,,2,8.9,0,7,,84,42,,1019.9,1014.3,,10.1,20.6,,0
3.8,21.7,,2.8,6.5,2,20,,99,34,,1011.9,1006.7,,7.9,20.2,,0.2
7.9,18.7,,5.8,5.8,26,31,,68,51,,1003.2,997.7,,14.4,16.6,,0
